date,energy,impact-e,lat,lat-dir,lon,lon-dir,alt,vel,year,legend
2016-03-16 23:54:20,3.2,0.11,-49.2,S,-6.3,W,42.0,13.3,2016,"Location: N/A,N/A<br><10 kt<br>2016-03-16 23:54:20"
2016-03-03 01:32:43,5.8,0.19,-48.0,S,51.0,E,31.8,11.7,2016,"Location: N/A,N/A<br><10 kt<br>2016-03-03 01:32:43"
2016-02-23 03:59:13,3.5,0.12,32.3,N,67.2,E,44.0,17.9,2016,"Location: N/A,AF<br><10 kt<br>2016-02-23 03:59:13"
2016-02-21 05:58:53,36.9,0.96,36.5,N,-37.2,W,32.0,,2016,"Location: N/A,N/A<br><10 kt<br>2016-02-21 05:58:53"
2016-02-19 08:15:02,20.2,0.56,0.7,N,-11.6,W,39.4,15.5,2016,"Location: N/A,N/A<br><10 kt<br>2016-02-19 08:15:02"
2016-02-06 13:55:09,685.3,13.0,-30.4,S,-25.5,W,31.0,15.6,2016,"Location: N/A,N/A<br>13.0 kt<br>2016-02-06 13:55:09"
2016-01-27 09:59:16,5.0,0.16,-45.8,S,53.6,E,37.0,11.5,2016,"Location: N/A,N/A<br><10 kt<br>2016-01-27 09:59:16"
2016-01-21 16:44:54,4.6,0.15,-10.8,S,0.7,E,42.5,18.1,2016,"Location: N/A,N/A<br><10 kt<br>2016-01-21 16:44:54"
2015-12-30 13:07:50,2.2,79.0,33.8,N,-160.7,W,39.0,,2015,"Location: N/A,N/A<br>79.0 kt<br>2015-12-30 13:07:50"
2015-12-21 02:32:48,8.3,0.26,5.9,N,143.0,E,42.2,12.1,2015,"Location: N/A,N/A<br><10 kt<br>2015-12-21 02:32:48"
2015-12-08 00:34:23,19.7,0.55,-69.9,S,150.5,E,38.0,,2015,"Location: N/A,AQ<br><10 kt<br>2015-12-08 00:34:23"
2015-11-13 14:59:27,10.2,0.31,16.0,N,124.3,E,28.0,,2015,"Location: N/A,N/A<br><10 kt<br>2015-11-13 14:59:27"
2015-11-02 21:34:20,7.8,0.24,-41.4,S,33.0,E,37.0,,2015,"Location: N/A,N/A<br><10 kt<br>2015-11-02 21:34:20"
2015-10-31 11:34:30,9.7,0.29,9.0,N,-138.0,W,71.0,,2015,"Location: N/A,N/A<br><10 kt<br>2015-10-31 11:34:30"
2015-10-13 12:23:08,2.3,82.0,-8.0,S,-52.5,W,38.9,12.9,2015,"Location: N/A,BR<br>82.0 kt<br>2015-10-13 12:23:08"
2015-10-11 00:07:46,3.0,0.1,-55.4,S,-18.8,W,,,2015,"Location: N/A,N/A<br><10 kt<br>2015-10-11 00:07:46"
2015-10-10 09:57:51,3.6,0.12,-51.0,S,-21.1,W,51.8,11.8,2015,"Location: N/A,N/A<br><10 kt<br>2015-10-10 09:57:51"
2015-10-04 21:02:17,4.4,0.15,22.0,N,-171.6,W,36.1,,2015,"Location: N/A,N/A<br><10 kt<br>2015-10-04 21:02:17"
2015-09-17 21:03:14,9.8,0.3,-43.1,S,94.9,E,,,2015,"Location: N/A,N/A<br><10 kt<br>2015-09-17 21:03:14"
2015-09-14 23:50:50,7.0,0.22,5.8,N,-15.2,W,,,2015,"Location: N/A,N/A<br><10 kt<br>2015-09-14 23:50:50"
2015-09-08 13:46:42,2.0,73.0,6.3,N,29.9,E,44.4,16.1,2015,"Location: N/A,SS<br>73.0 kt<br>2015-09-08 13:46:42"
2015-09-07 01:41:19,179.8,3.9,14.5,N,98.9,E,29.3,21.0,2015,"Location: Tambon Sai Yok,TH<br><10 kt<br>2015-09-07 01:41:19"
2015-09-02 20:10:30,3.7,0.13,39.1,N,40.2,E,39.8,24.1,2015,"Location: N/A,TR<br><10 kt<br>2015-09-02 20:10:30"
2015-07-19 07:06:26,2.3,82.0,20.6,N,-87.6,W,22.0,17.8,2015,"Location: N/A,MX<br>82.0 kt<br>2015-07-19 07:06:26"
2015-07-12 22:23:14,2.2,79.0,31.0,N,159.6,E,41.0,,2015,"Location: N/A,N/A<br>79.0 kt<br>2015-07-12 22:23:14"
2015-07-04 01:40:11,5.6,0.18,38.6,N,103.1,E,46.3,49.0,2015,"Location: Wuwei Shi,CN<br><10 kt<br>2015-07-04 01:40:11"
2015-06-14 03:03:06,7.1,0.22,6.3,N,124.1,E,32.4,31.9,2015,"Location: Palimbang,PH<br><10 kt<br>2015-06-14 03:03:06"
2015-06-12 17:03:35,17.6,0.5,-1.3,S,-32.1,W,43.5,,2015,"Location: N/A,N/A<br><10 kt<br>2015-06-12 17:03:35"
2015-06-10 17:43:03,38.4,1.0,-11.5,S,-161.9,W,61.1,,2015,"Location: N/A,CK<br><10 kt<br>2015-06-10 17:43:03"
2015-06-02 08:44:50,38.0,0.99,-6.4,S,-142.7,W,,,2015,"Location: N/A,N/A<br><10 kt<br>2015-06-02 08:44:50"
2015-05-20 10:20:41,3.6,0.12,1.0,N,172.6,E,32.4,,2015,"Location: N/A,KI<br><10 kt<br>2015-05-20 10:20:41"
2015-05-18 17:13:51,4.3,0.14,32.4,N,139.1,E,29.0,,2015,"Location: N/A,N/A<br><10 kt<br>2015-05-18 17:13:51"
2015-05-10 07:45:01,14.3,0.42,-46.3,S,-179.3,W,29.6,12.2,2015,"Location: N/A,N/A<br><10 kt<br>2015-05-10 07:45:01"
2015-05-07 20:34:34,5.2,0.17,-21.5,S,-29.3,W,37.0,17.3,2015,"Location: N/A,N/A<br><10 kt<br>2015-05-07 20:34:34"
2015-04-30 10:21:01,10.5,0.32,-48.7,S,139.1,E,26.7,12.9,2015,"Location: N/A,N/A<br><10 kt<br>2015-04-30 10:21:01"
2015-04-21 01:42:51,8.8,0.27,37.7,N,-39.6,W,37.4,21.3,2015,"Location: N/A,N/A<br><10 kt<br>2015-04-21 01:42:51"
2015-04-10 01:14:27,6.5,0.21,-42.8,S,8.2,E,,,2015,"Location: N/A,N/A<br><10 kt<br>2015-04-10 01:14:27"
2015-04-08 04:06:31,17.3,0.49,-25.5,S,51.5,E,36.3,19.2,2015,"Location: N/A,N/A<br><10 kt<br>2015-04-08 04:06:31"
2015-04-03 01:39:38,4.2,0.14,8.4,N,-157.9,W,,,2015,"Location: N/A,N/A<br><10 kt<br>2015-04-03 01:39:38"
2015-03-30 21:33:52,6.4,0.2,-36.1,S,-5.5,W,33.1,13.8,2015,"Location: N/A,N/A<br><10 kt<br>2015-03-30 21:33:52"
2015-03-18 00:04:50,12.1,0.36,-5.4,S,159.3,E,50.0,,2015,"Location: N/A,N/A<br><10 kt<br>2015-03-18 00:04:50"
2015-03-11 06:18:59,7.2,0.23,8.0,N,119.1,E,35.2,19.9,2015,"Location: N/A,PH<br><10 kt<br>2015-03-11 06:18:59"
2015-03-08 04:26:28,2.0,73.0,-39.1,S,-118.6,W,,,2015,"Location: N/A,N/A<br>73.0 kt<br>2015-03-08 04:26:28"
2015-03-04 04:30:05,5.5,0.18,-15.9,S,88.1,E,39.8,18.0,2015,"Location: N/A,N/A<br><10 kt<br>2015-03-04 04:30:05"
2015-02-26 22:06:24,18.8,0.53,68.0,N,-149.0,W,33.7,21.1,2015,"Location: Fairbanks,US<br><10 kt<br>2015-02-26 22:06:24"
2015-02-25 10:53:24,5.8,0.19,12.4,N,-122.4,W,42.0,,2015,"Location: N/A,N/A<br><10 kt<br>2015-02-25 10:53:24"
2015-02-17 13:19:50,3.3,0.11,-8.0,S,-11.2,W,39.0,28.8,2015,"Location: N/A,N/A<br><10 kt<br>2015-02-17 13:19:50"
2015-01-09 17:31:47,2.2,79.0,-23.3,S,-49.2,W,,,2015,"Location: N/A,BR<br>79.0 kt<br>2015-01-09 17:31:47"
2015-01-09 10:41:11,13.9,0.41,2.0,N,28.8,E,36.0,17.5,2015,"Location: N/A,CD<br><10 kt<br>2015-01-09 10:41:11"
2015-01-07 01:05:59,13.6,0.4,45.7,N,26.9,E,45.5,35.7,2015,"Location: N/A,RO<br><10 kt<br>2015-01-07 01:05:59"
2015-01-02 13:39:19,2.0,73.0,-31.1,S,140.0,E,38.1,18.1,2015,"Location: Frome Downs,AU<br>73.0 kt<br>2015-01-02 13:39:19"
2014-12-13 02:53:52,4.4,0.15,86.7,N,-162.1,W,30.7,21.7,2014,"Location: N/A,N/A<br><10 kt<br>2014-12-13 02:53:52"
2014-12-12 06:48:11,3.3,0.11,33.5,N,144.9,E,26.3,12.0,2014,"Location: N/A,N/A<br><10 kt<br>2014-12-12 06:48:11"
2014-12-09 21:19:18,7.8,0.24,76.6,N,96.3,E,26.3,,2014,"Location: N/A,RU<br><10 kt<br>2014-12-09 21:19:18"
2014-11-28 11:47:18,70.0,1.7,-45.8,S,-172.7,W,26.1,13.4,2014,"Location: N/A,N/A<br><10 kt<br>2014-11-28 11:47:18"
2014-11-27 12:12:52,5.5,0.18,-18.8,S,-73.4,W,38.0,,2014,"Location: N/A,N/A<br><10 kt<br>2014-11-27 12:12:52"
2014-11-26 23:16:51,11.8,0.35,-69.5,S,-179.7,W,23.3,25.3,2014,"Location: N/A,N/A<br><10 kt<br>2014-11-26 23:16:51"
2014-11-26 17:40:16,10.5,0.32,-68.2,S,-24.0,W,37.0,19.9,2014,"Location: N/A,N/A<br><10 kt<br>2014-11-26 17:40:16"
